clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Wrexham A.F.C.,United Kingdom,National League,Racecourse Ground,Point(-3.003611 53.051944),https://www.wrexhamafc.co.uk/
Manchester United F.C.,United Kingdom,Premier League,Old Trafford,Point(-2.291388888 53.463055555),https://www.manutd.com/
Swansea City A.F.C.,United Kingdom,EFL Championship,Liberty Stadium,Point(-3.9351 51.6422),https://www.swanseacity.com/
Altrincham F.C.,United Kingdom,National League North,Moss Lane,Point(-2.335158 53.383436),https://www.altrinchamfc.com/
Middlesbrough F.C.,United Kingdom,EFL Championship,Riverside Stadium,Point(-1.216944444 54.578333333),https://www.mfc.co.uk/
Cardiff City F.C.,United Kingdom,EFL Championship,Cardiff City Stadium,Point(-3.203056 51.472778),https://www.cardiffcityfc.co.uk/
Albion Sports A.F.C.,United Kingdom,Northern Counties East Football League,Horsfall Stadium,Point(-1.776203 53.758856),http://albionsports.co.uk/seniors/
Lewisham Borough F.C.,United Kingdom,Kent Invicta Football League,Ladywell Arena,Point(-0.02166667 51.45111111),http://www.lewishamboroughfc.com/
Fulham F.C.,United Kingdom,Premier League,Craven Cottage,Point(-0.221666666 51.475),https://www.fulhamfc.com/
Aston Villa F.C.,United Kingdom,Premier League,Villa Park,Point(-1.884722222 52.509166666),https://www.avfc.co.uk/
Newcastle United F.C.,United Kingdom,Premier League,St James’ Park,Point(-1.621666666 54.975555555),https://www.nufc.co.uk/
Norwich City F.C.,United Kingdom,EFL Championship,Carrow Road,Point(1.309166666 52.622222222),https://www.canaries.co.uk/
Queens Park Rangers F.C.,United Kingdom,EFL Championship,Kiyan Prince Foundation Stadium,Point(-0.232222222 51.509166666),https://www.qpr.co.uk/
Reading F.C.,United Kingdom,EFL Championship,Madejski Stadium,Point(-0.982777777 51.422222222),https://www.readingfc.co.uk/
Southampton F.C.,United Kingdom,Premier League,St Mary's Stadium,Point(-1.39111111 50.90583333),https://www.southamptonfc.com
Stoke City F.C.,United Kingdom,EFL Championship,Britannia Stadium,Point(-2.175555555 52.988333333),https://www.stokecityfc.com/
Sunderland A.F.C.,United Kingdom,EFL League One,Stadium of Light,Point(-1.3882 54.9144),https://www.safc.com/
Tottenham Hotspur F.C.,United Kingdom,Premier League,Tottenham Hotspur Stadium,Point(-0.066388888 51.604444444),https://www.tottenhamhotspur.com/
West Bromwich Albion F.C.,United Kingdom,EFL Championship,The Hawthorns,Point(-1.963888888 52.509166666),https://www.wba.co.uk/
West Ham United F.C.,United Kingdom,Premier League,London Stadium,Point(-0.016388888 51.538611111),http://www.whufc.com/
Wigan Athletic F.C.,United Kingdom,EFL League One,DW Stadium,Point(-2.653889 53.547778),https://www.wiganathletic.com/
FK Ventspils,Latvia,Latvian Higher League,Ventspils Olimpiskais Stadions,Point(21.5704 57.3873),http://www.fkventspils.lv/
Club Universitario de Deportes,Peru,Peruvian Primera División,Estadio Monumental U,Point(-76.935972 -12.055694),https://universitario.pe/
Barnsley F.C.,United Kingdom,EFL Championship,Oakwell,Point(-1.4675 53.552222),https://www.barnsleyfc.co.uk/
Birmingham City F.C.,United Kingdom,EFL Championship,St Andrew's,Point(-1.868188888 52.475702777),https://www.bcfc.com/
Blackburn Rovers F.C.,United Kingdom,EFL Championship,Ewood Park,Point(-2.489166666 53.728611111),https://www.rovers.co.uk/
Blackpool F.C.,United Kingdom,EFL Championship,Bloomfield Road,Point(-3.048056 53.804722),https://www.blackpoolfc.co.uk/
Bolton Wanderers F.C.,United Kingdom,EFL League One,University of Bolton Stadium,Point(-2.535555555 53.580555555),https://www.bwfc.co.uk/
