clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Orión F.C.,Costa Rica,Segunda División de Costa Rica,"Estadio Jorge ""Cuty"" Monge",Point(-84.049322 9.889628),http://www.orionfc.com/
SV Röchling Völklingen,Germany,Oberliga Rheinland-Pfalz/Saar,Q1610458,Point(6.87022 49.2573),http://www.svroechling.be
Paganese Calcio 1926,Italy,Lega Pro Prima Divisione,Stadio Marcello Torre,Point(14.607075 40.740231),http://www.paganesecalcio.com/
SD Órdenes,Spain,Divisiones Regionales de Fútbol in Galicia,Q116977409,Point(-8.41699 43.07396),http://www.sdordenes.es/
Red Star F.C.,France,Ligue 2,Stade de Paris,Point(2.340833 48.905833),https://www.redstar.fr/
Red Star F.C.,France,Ligue 2,Stade de Paris,Point(2.34105 48.9061),https://www.redstar.fr/
Brasiliense Futebol Clube,Brazil,Campeonato Brasileiro Série C,Serejão,Point(-48.080657 -15.836146),https://www.brasiliensefc.com.br/
F.C. Civics Windhoek,Namibia,Namibia Premier League,Sam Nujoma Stadium,Point(17.090975 -22.60763611),http://www.civicsfc.com/
SG Wattenscheid 09,Germany,Oberliga Westfalen,Lohrheidestadion,Point(7.118611 51.485556),http://www.sgwattenscheid09.de/
S.S. Murata,San Marino,Campionato Sammarinese di Calcio,Campo sportivo di Montegiardino,Point(12.4821 43.9149),http://www.muratacalcio.com/
FC Sportist Svoge,Bulgaria,Bulgarian B Professional Football Group,Chavdar Tsvetkov Stadium,Point(23.35 42.962222),http://sportist-svoge.net/
SpVgg Bayreuth,Germany,Fußball-Bayernliga,Hans-Walter-Wild-Stadion,Point(11.586944 49.945278),http://www.spvgg-bayreuth.de/
Alicante CF,Spain,Segunda División B,Q5646842,Point(-0.486944444 38.378611111),http://www.alicantecf.es/
Kolding FC,Denmark,Denmark Series,Kolding Stadion,Point(9.459167 55.494167),http://www.kolding-fc.dk
CS Otopeni,Romania,Liga II,Stadionul Otopeni,Point(26.06784 44.54262),http://www.csotopeni.ro
TSV Schwaben Augsburg,Germany,Fußball-Regionalliga Süd,Q1357112,Point(10.9083 48.3428),http://www.tsv-schwaben-augsburg.de/
Zug 94,Switzerland,Swiss 1. Liga,Herti Allmend Stadion,Point(8.5085 47.1779),http://www.zug94.ch/
FC Shakhtyor Salihorsk,Belarus,Belarusian Premier League,Stroitel Stadium,Point(27.538194444 52.798611111),http://www.fcshakhter.by/
Mohammedan SC,Bangladesh,Bangladesh Premier League,Bangabandhu National Stadium,Point(90.41353 23.72801),http://www.mohammedanscltd.com/
FK Modriča,Bosnia and Herzegovina,First League of the Republika Srpska,Stadion Dr. Milan Jelić,Point(18.3081 44.9551),http://www.fkmodricamaxima.com/
FCV Farul Constanța,Romania,Romanian SuperLiga,Viitorul Stadium,Point(28.55583333 44.26388889),https://www.farulconstanta.com/
Berliner SV 1892,Germany,Fußball-Kreisliga,Stadion Wilmersdorf,Point(13.3027 52.4838),http://www.bsv92.de/
FC Remscheid,Germany,Landesliga Niederrhein,Röntgen stadium,Point(7.2635 51.1896),http://www.fcremscheid.de
ŽP Šport Podbrezová,Slovakia,Slovak First Football League,Stadium Kolkáreň,Point(19.535 48.8167),http://www.zpfutbal.sk/
Old Carthusians F.C.,United Kingdom,Arthurian League,Charterhouse School,Point(-0.6219691 51.1966247),http://www.clubwebsite.co.uk/oldcarthusians/76203/Home
Würzburger Kickers,Germany,3. Liga,flyeralarm Arena,Point(9.932944444 49.767194444),https://www.wuerzburger-kickers.de/
Malavan F.C.,Iran,Iran Pro League,Sirous Ghayeghran Arena,Point(49.455385 37.465615),https://malavanfc.com/
TSV Havelse,Germany,Regionalliga,Wilhelm-Langrehr-Stadion,Point(9.60222 52.4083),http://www.tsvhavelse.de/
TSV Havelse,Germany,Regionalliga,Wilhelm-Langrehr-Stadion,Point(9.60222 52.4083),https://www.tsv-havelse.de
BV Cloppenburg,Germany,Regionalliga,Q2434521,Point(8.03874 52.8525),http://www.bvcloppenburg.de/
VfL Oldenburg,Germany,Oberliga Niedersachsen,Stadion Alexanderstraße,Point(8.21168 53.15512),http://www.vfl-oldenburg-fussball.de/
Tianjin Jinmen Tiger F.C.,People's Republic of China,Chinese Super League,TEDA Football Stadium,Point(117.719 39.030519),http://sports.enorth.com.cn/teda/index1.htm
OFK Petrovac,Montenegro,Montenegrin First League,Stadion pod Malim Brdom,Point(18.945928 42.203591),http://www.ofkpetrovac.com/
IFK Värnamo,Sweden,Allsvenskan,Finnvedsvallen,Point(14.04280556 57.19591667),http://ifkvarnamo.se/
Arbroath F.C.,United Kingdom,Scottish Football League Second Division,Gayfield Park,Point(-2.59151944 56.55226944),http://www.arbroathfc.co.uk/
Arbroath F.C.,United Kingdom,Scottish Football League,Gayfield Park,Point(-2.59151944 56.55226944),http://www.arbroathfc.co.uk/
Arbroath F.C.,United Kingdom,Central Football League,Gayfield Park,Point(-2.59151944 56.55226944),http://www.arbroathfc.co.uk/
Arbroath F.C.,United Kingdom,Scottish Professional Football League,Gayfield Park,Point(-2.59151944 56.55226944),http://www.arbroathfc.co.uk/
Club Atletic Oradea,Romania,Liga IV Bihor,Stadionul Iuliu Bodola,Point(21.93 47.071944),https://caoradea.ro/
HB Køge,Denmark,Danish Superliga,Herfølge Stadion,Point(12.134153 55.413578),https://www.hbkoge.dk/
Red Bull Bragantino,Brazil,Campeonato Brasileiro Série B,Estádio Nabi Abi Chedid,Point(-46.536936 -22.965414),https://www.redbullbragantino.com.br
Sông Lam Nghệ An F.C.,Vietnam,V.League 1,Vinh Stadium,Point(105.669508 18.669015),http://www.slnafc.com/
S.C. Faetano,Italy,Campionato Sammarinese di Calcio,Stadio Olimpico,Point(12.476972 43.97125),http://www.faetanocalcio.sm/
S.C. Faetano,San Marino,Campionato Sammarinese di Calcio,Stadio Olimpico,Point(12.476972 43.97125),http://www.faetanocalcio.sm/
Team Wellington,New Zealand,New Zealand Football Championship,Newtown Park,Point(174.7825 -41.320278),http://www.twfc.co.nz/
Rot-Weiss Frankfurt,Germany,Q1477071,Stadion am Brentanobad,Point(8.62056 50.1247),http://www.rot-weiss-frankfurt.de
G.D. Chaves,Portugal,پڕێمەر لیگ,Estádio Municipal de Chaves,Point(-7.464985 41.75064),http://www.gdchaves.pt/
Zamora CF,Spain,Tercera División,Estadio Ruta de la Plata,Point(-5.748056 41.486389),http://www.zamoracf.es/
Geylang United FC,Singapore,S.League,Bedok Stadium,Point(103.939 1.32641),http://www.gifc.org.sg
FC Neman Grodno,Belarus,Belarusian Premier League,Neman Stadium,Point(23.820833333 53.688888888),http://www.fcneman.by/
FC Yenisey Krasnoyarsk,Russia,Russian First League,Central Stadium,Point(92.88466389 55.99840278),https://фк-енисей.рф/
FC Zhetysu,Kazakhstan,Kazakhstan First League,Zhetysu Stadium,Point(78.365103 45.019716),http://www.fc-zhetisu.kz
Power Dynamos F.C.,Zambia,Zambia Super League,Arthur Davies Stadium,Point(28.23277778 -12.84388889),http://www.powerdynamos.co.zm/
Fremad Amager,Denmark,Danish 1st Division,Sundby Idrætspark,Point(12.6016 55.6493),http://www.fremad-amager.dk
Hunan Billows F.C.,People's Republic of China,China League One,Yiyang Stadium,Point(112.352064 28.55509),http://www.hnxiangtao.com/
Tianjin Tianhai F.C.,People's Republic of China,Chinese Super League,Tianjin Tuanbo Football Stadium,Point(117.184441666 38.8834),http://www.chinaquanjianfc.com/
SC Union 06 Berlin,Germany,Bezirksliga,Poststadion,Point(13.359444 52.53),http://www.scunion06-berlin.de/
Airbus UK Broughton F.C.,United Kingdom,Welsh Premier League,The Airfield,Point(-2.981519 53.171492),http://www.airbusfc.com
Machine Sazi F.C.,Iran,Iran Football's 2nd Division,Takhti Stadium (Tabriz),Point(46.301515 38.067403),http://www.mashinsazi.club/en/main
Workington A.F.C.,United Kingdom,Northern Premier League,Borough Park,Point(-3.55105 54.6487),http://www.workingtonafc.com/
Ankara Demirspor,Turkey,TFF Third League,Cebeci İnönü Stadium,Point(32.872146 39.932023),http://www.demirspor.org.tr/
Ankaraspor,Turkey,TFF First League,Osmanlı Stadyumu,Point(32.5024 40.0115),https://www.ankaraspor2020.com
São Bernardo Futebol Clube,Brazil,Campeonato Paulista de Futebol,Estádio Primeiro de Maio,Point(-46.556388888 -23.699944444),http://www.saobernardofc.com.br/
FC Akzhayik,Kazakhstan,Kazakhstan Premier League,Petr Atoyan Stadium,Point(51.350833 51.211944),http://www.fc-akzhayik.kz/
Hanoi FC,Vietnam,V.League 1,Hàng Đẫy Stadium,Point(105.833056 21.029722),https://hanoifc.com.vn/
Wuhan Yangtze River F.C.,People's Republic of China,Chinese Super League,Wuhan Sports Center,Point(114.166253 30.502313),http://www.whzallfc.cn/index
Shanghai Port F.C.,People's Republic of China,Chinese Super League,Shanghai Stadium,Point(121.437278 31.1835),https://www.fcshanghaiport.com/
FC SKA-Energiya Khabarovsk,Russia,Russian First League,Lenin Stadium,Point(135.04638889 48.47888889),http://www.fcska.ru
Club Valencia,Maldives,Dhivehi League,Galolhu National Stadium,Point(73.513083333 4.174083333),http://www.clubvalencia.org/v2/
Centro Sportivo Alagoano,Brazil,Campeonato Brasileiro Série D,Estádio Mutange,Point(-35.747708 -9.6378),http://www.centrosportivoalagoano.com/
IFK Uddevalla,Sweden,Swedish Football Division 2,Rimnersvallen,Point(11.95 58.35666667),http://www.ifkuddevalla.nu/
FC Smorgon,Belarus,Belarusian Premier League,Yunost Stadium,Point(26.4044 54.479),http://www.fc-smorgon.by
Mersin İdmanyurdu,Turkey,TFF Second League,Tevfik Sırrı Gür Stadium,Point(34.617555 36.78626),http://www.mersinidmanyurdu.org.tr
Moghreb Atlético Tetuán,Morocco,Botola,Saniat Rmel,Point(-5.348611 35.5725),https://www.matfoot.com/
SD Compostela,Spain,Segunda Federación,Estadio Multiusos de San Lázaro,Point(-8.516014 42.882767),https://sdcompostela.com/
Pärnu Jalgpalliklubi,Estonia,Esiliiga,Pärnu Rannastaadion,Point(24.503461 58.374672),http://www.parnujk.ee/
Tarxien Rainbows F.C.,Malta,Maltese First Division,Ta' Qali National Stadium,Point(14.415372222 35.894863888),http://www.freewebs.com/tarxienfc/
Cobán Imperial,Guatemala,Liga Guate Banrural,Estadio Verapaz,Point(-90.3769094 15.4762068),https://m.facebook.com/CSDCobanImperial/?locale2=es_LA
Morvant Caledonia United,Trinidad and Tobago,TT Premier Football League,Hasely Crawford Stadium,Point(-61.533033 10.661522),http://www.caledoniaaia.com/
Jönköpings Södra IF,Sweden,Superettan,Stadsparksvallen,Point(14.141944444 57.783333333),http://www.j-sodra.se
Jönköpings Södra IF,Sweden,Superettan,Jönköpings idrottshus,Point(14.1536 57.7814),http://www.j-sodra.se
Tallinna JK Legion,Estonia,Meistriliiga,Kadriorg Stadium,Point(24.783444444 59.434472222),http://www.legion.ee/
FC Okzhetpes,Kazakhstan,Kazakhstan First League,Okzhetpes Stadium,Point(69.391667 53.285278),http://www.okzhetpes.kz/
Cork City F.C.,Republic of Ireland,League of Ireland First Division,Turners Cross,Point(-8.46775 51.885528),https://www.corkcityfc.ie/
C.D. Águila,El Salvador,Primera División de El Salvador,Estadio Juan Francisco Barraza,Point(-88.169038 13.482576),http://www.cdaguilaoficial.net/
FC Progrès Niederkorn,Luxembourg,Luxembourg National Division,Stade Jos Haupert,Point(5.903369444 49.546111111),https://progres.lu/
Denizli B.S.K.,Turkey,TFF Second League,Doğan Seyfi Atlı Stadium,Point(29.03777778 37.77547222),http://www.denizlibelediyespor.org.tr/
Pécsi MFC,Hungary,Nemzeti Bajnokság I,Stadion PMFC,Point(18.1959 46.0685),http://pmfc.hu/
Husqvarna FF,Sweden,Swedish Football Division 1,Vapenvallen,Point(14.2744 57.7847),http://www.husqvarnaff.se/
Ersboda SK,Sweden,Swedish Football Division 2,Umeå Energi Arena,Point(20.285277777 63.83),http://www.ersbodask.com/
SK Blāzma,Latvia,Latvian Higher League,Sporta Aģentūras Stadions,Point(27.3406363 56.509502),http://www.sk-blazma.lv/
FC Metalurh Zaporizhzhia,Ukraine,Ukrainian Second League,Slavutych Arena,Point(35.096952 47.859627),http://www.fcmetalurg.com/
Hibernians F.C.,Malta,Maltese Premier League,Hibernians Stadium,Point(14.513027777 35.882861111),http://www.hiberniansfc.org/
Digenis Akritas Morphou FC,Cyprus,Cypriot Third Division,Makario Stadium,Point(33.314444 35.146111),http://www.digenisakritasmorfou.com/
Syrianska IF Kerburan,Sweden,Swedish Football Division 2,Hitachi Energy Arena,Point(16.530555555 59.6275),http://www.syrianskaif.com/
Skellefteå FF,Sweden,Swedish Football Division 2,Norrvalla IP,Point(20.972692566 64.754784698),http://skellefteaff.se/
FC Sète,France,Championnat National 2,Stade Louis Michel,Point(3.67057 43.41251),https://fcsete34.com/
Atlético Veragüense,Panama,Liga Panameña de Fútbol,Estadio Áristocles Castillo,Point(-80.972778 8.108889),http://atleticoveraguense.com/
Haverfordwest County A.F.C.,United Kingdom,Welsh Premier League,Bridge Meadow Stadium,Point(-4.96747 51.8092),https://haverfordwestcountyafc.com/
Albinegros de Orizaba,Mexico,Segunda División de México,"Estadio Luis ""Pirata"" Fuente",Point(-96.125017 19.164222),http://www.albinegros.mx/sitio/index.php
Grupo Desportivo de Maputo,Mozambique,Moçambola,Estádio do Desportivo,Point(32.5797 -25.9747),http://www.desportivo.co.mz/
Q942999,Spain,Super Ibérica de Rugby,Estadio Pepe Rojo,Point(-4.673056 41.659722),http://www.vacceoscavaliers.com/VacceosCavaliers
FC Gloria Buzău,Romania,Liga III,Municipal Stadium in Buzău,Point(26.803333 45.146028),http://www.fcgloriabuzau.ro/
Vasco S.C.,India,Goa Professional League,Fatorda Stadium,Point(73.9625 15.28972222),http://www.vascosportsclub.com
Calcio Lecco 1912,Italy,Serie D,Stadio Rigamonti-Ceppi,Point(9.398919 45.857831),http://www.calciolecco1912.com/
Argentino de Rosario,Argentina,Primera D,Estadio José María Olaeta,Point(-60.68376667 -32.90753056),http://www.clubargentino.com.ar/
Galway United F.C.,Republic of Ireland,League of Ireland Premier Division,Eamonn Deacy Park,Point(-9.056258 53.284658),http://www.galwayunitedfc.ie/
K.S.K. Ronse,Belgium,Belgian Third Division,Q2031487,Point(3.587192 50.736248),http://www.ksk-ronse.be/
FC Olimpia Volgograd,Russia,Russian Second League,"Olympia Stadium, Volgograd",Point(44.4772 48.7664),http://fc-olympia.ru
US Saint-Malo,France,Championnat National 2,Parc des sports de Marville,Point(2.38238 48.9373),http://www.ussm.fr/
Ho Chi Minh City F.C.,Vietnam,Vietnamese Second Division,Thong Nhat Stadium,Point(106.663331 10.760703),http://www.tmn-csgfc.com.vn
Caernarfon Town F.C.,United Kingdom,Welsh Premier League,The Oval,Point(-4.2675 53.134722),https://www.caernarfontownfc.co.uk/
Alianza Petrolera F.C.,Colombia,Categoría Primera A,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),https://alianzapetrolerafc.com/
Peterhead F.C.,United Kingdom,Scottish Football League Third Division,Balmoor Stadium,Point(-1.79585 57.5117),http://www.peterheadfc.com/
Minnesota United FC,United States of America,North American Soccer League,National Sports Center,Point(-93.225925 45.1575),https://www.mnufc.com
FK Bežanija,Serbia,Serbian First League,Stadion FK Bežanija,Point(20.373892 44.808144),http://www.fcbezanija.com/
Welling United F.C.,United Kingdom,National League South,Park View Road,Point(0.116514 51.460317),https://www.wellingunited.com/
C.D. Costa do Sol,Mozambique,Moçambola,Estádio do Costa do Sol,Point(32.6162 -25.9414),http://www.cdcostadosol.co.mz/
Gainare Tottori,Japan,J2 League,Tottori Bank Bird Stadium,Point(134.221667 35.458333),http://www.gainare.co.jp/
Umm Salal SC,Qatar,Stars League,Thani bin Jassim Stadium,Point(51.440562 25.34474),https://ummsalal.qa/
Puntarenas F.C.,Costa Rica,Liga promerica,Estadio Lito Pérez,Point(-84.838781 9.976422),https://www.puntarenasfc.com/
USV Eschen/Mauren,Liechtenstein,Swiss 1. Liga,Sportpark Eschen-Mauren,Point(9.537777777 47.205833333),http://www.usv.li/
NK Lokomotiva,Croatia,Prva HNL,Stadion Maksimir,Point(16.018077777 45.818858333),https://nklokomotiva.hr/
Colegio Nacional Iquitos,Peru,Copa Perú,Estadio Max Augustín,Point(-73.252778 -3.743611),http://www.cni.pe/
FC Arieșul Turda,Romania,Liga IV Cluj,Stadionul Municipal,Point(23.823611 46.563056),http://sticlaariesulturda.ro/
Clube Atlético Juventus,Brazil,Campeonato Paulista Série A2,Estádio Rua Javari,Point(-46.604444 -23.553333),http://www.juventus.com.br/
Droylsden F.C.,United Kingdom,National League North,Butcher's Arms Ground,Point(-2.1449 53.481858),http://www.droylsdenfc.com/
Sinop Futebol Clube,Brazil,Campeonato Mato-Grossense,Estádio Municipal Gigante do Norte,Point(-55.49944444 -11.87138889),http://www.sinopfutebolclube.com.br/
Deportivo Cali,Colombia,Categoría Primera A,Estadio Deportivo Cali,Point(-76.417036 3.521642),https://deportivocali.com.co/
FC Zlaté Moravce,Slovakia,Slovak First Football League,Štadión FC ViOn,Point(18.403889 48.399167),http://fcvion.sk/
SV Dessau 05,Germany,Verbandsliga Sachsen-Anhalt,Paul Greifzu Stadium,Point(12.25157 51.824),http://www.svdessau05.de/
VfB Lübeck,Germany,3. Liga,Stadion an der Lohmühle,Point(10.668889 53.881111),http://www.vfb-luebeck.de
SpVgg Bayern Hof,Germany,Bayernliga Nord,Stadion Grüne Au,Point(11.9313 50.3148),http://www.bayern-hof.de
FC Bayern Alzenau,Germany,Fußball-Regionalliga Südwest,Q2360118,Point(9.0593 50.0815),https://www.bayern-alzenau.com/
SC Verl,Germany,Regionalliga West,Q1408225,Point(8.51444 51.8833),https://www.sportclub-verl.de/
SC Pfullendorf,Germany,Fußball-Regionalliga Südwest,Geberit-Arena,Point(9.26191389 47.91834167),http://www.sc-pfullendorf.de/
SC Westfalia Herne,Germany,Oberliga Westfalen,Stadion am Schloss Strünkede,Point(7.208611 51.551944),http://www.westfalia-herne.net/
Borussia Fulda,Germany,Hessenliga,Q2312741,Point(9.66582 50.5405),http://www.borussiafulda.de/
Sportfreunde Lotte,Germany,Regionalliga West,Stadion am Lotter Kreuz,Point(7.920444 52.270936),http://www.sf-lotte.de
VfB Speldorf,Germany,Oberliga Niederrhein,Q1660949,Point(6.831662 51.447672),http://www.vfb-speldorf.de/
BFC Preussen,Germany,Berlin-Liga,Preussen-Stadion an der Malteserstraße,Point(13.3548 52.4326),http://www.bfc-preussen-fussball.de/
VfR Mannheim,Germany,Oberliga Baden-Württemberg,Rhein-Neckar-Stadion,Point(8.49944 49.4792),http://www.vfr-mannheim.de/
FC Concordia Basel,Switzerland,Swiss 1. Liga,Stadion Rankhof,Point(7.620013888 47.561194444),http://www.congeli.ch/
FC Fribourg,Switzerland,1. Liga Promotion,Stade Universitaire Saint-Léonard,Point(7.154 46.817),http://www.fcfribourg.ch/
Shirak FC,Armenia,Armenian Premier League,Gyumri City Stadium,Point(43.833333 40.785833),http://fcshirak.am/
Arka Gdynia,Poland,I liga,Stadion GOSiR,Point(18.531214 54.493136),https://www.arka.gdynia.pl/
Hafia Football Club,Guinea,Guinée Championnat National,Stade du 28 Septembre,Point(-13.67291667 9.54586111),http://s280880476.onlinehome.fr/hafiafc/
Piast Gliwice,Poland,Ekstraklasa,Stadion Piast,Point(18.695866 50.306583),http://piast.gliwice.pl/
FC Chiasso,Switzerland,Swiss Challenge League,Stadio comunale Riva IV,Point(9.016686 45.834089),https://fcchiasso.ch/
FC Dornbirn 1913,Austria,Austrian Regional League,Stadion Birkenwiese,Point(9.72417 47.4164),http://www.fc-dornbirn.at/
FC La Chaux-de-Fonds,Switzerland,2. Liga,Centre Sportif de la Charrière,Point(6.836111 47.111389),http://www.fccnet.ch/
Yverdon-Sport FC,Switzerland,1. Liga Promotion,Stade Municipal,Point(6.647056 46.783297),https://www.yverdonsport.ch/
Viljandi JK Tulevik,Estonia,Esiliiga,Viljandi linnastaadion,Point(25.607033 58.361156),https://jktulevik.ee/
Académica Petróleo Kwanda Soyo,Angola,Girabola,Estádio Imbomdeiro,Point(12.35 -6.13333),http://www.academicakwanda.com/
Deportivo Toluca F.C.,Mexico,Liga MX,Nemesio Díez Stadium,Point(-99.666794 19.287286),https://www.tolucafc.com/
SC Rheindorf Altach,Austria,Austrian Bundesliga,Stadion Schnabelholz,Point(9.6372 47.3536),https://www.scra.at/
FC Meyrin,Switzerland,Swiss 1. Liga,Stade des Arberes,Point(6.069765138 46.234390317),https://meyrinfc.ch/
CA Bastia,France,Championnat National,Q3495582,Point(9.43554 42.66324),http://www.ca-bastia.com
Maccabi Ironi Ashdod F.C.,Israel,Liga Alef,Yud-Alef Stadium,Point(34.6483 31.8103),http://www.ironi-ashdod.co.il
Maccabi Ironi Ashdod F.C.,Israel,Liga Alef,Yud-Alef Stadium,Point(34.6483 31.8104),http://www.ironi-ashdod.co.il
C.D. Feirense,Portugal,LigaPro,Estádio Marcolino de Castro,Point(-8.545814 40.926689),http://www.cdfeirense.pt/
SR Delémont,Switzerland,1. Liga Promotion,La Blancherie,Point(7.341667 47.360278),http://www.srd.ch/
Operário Futebol Clube,Brazil,Campeonato Sul-Mato-Grossense,Morenão,Point(-54.609722 -20.501389),http://www.operario.com.br
SC Kriens,Switzerland,1. Liga Promotion,Stadion Kleinfeld,Point(8.287797 47.029836),https://www.sckriens.ch/
FC Grenchen,Switzerland,Swiss 1. Liga,Stadion Brühl,Point(7.404031 47.185409),https://www.fcg.ch/
Medeama SC,Ghana,Ghana Premier League,TNA Park,Point(-1.99240005 5.30100012),http://www.medeamasc.com/
Uganda Revenue Authority SC,Uganda,Ugandan Super League,Mandela National Stadium,Point(32.65888889 0.34720833),http://urafc.co.ug
FC Rapid Ghidighici,Moldova,Moldovan National Division,Ghidighici Stadium,Point(28.77154 47.08867),http://www.fcrapid.md/
FC Kharkiv,Ukraine,Premier League,Dynamo Stadium,Point(36.239917 50.021889),http://www.arsenal.kharkov.ua/
FC Stade Nyonnais,Switzerland,1. Liga Promotion,Centre sportif de Colovray,Point(6.226201 46.370711),http://www.stadenyonnais.ch
SV Bad Aussee,Austria,Austrian Regional League Central,Ausseerland-Arena,Point(13.7808 47.6005),http://www.svbadaussee.at/
Ballinamallard United F.C.,United Kingdom,NIFL Premiership,Ferney Park,Point(-7.59311 54.425),http://www.ballinamallardfc.co.uk/
Ypiranga Futebol Clube,Brazil,Campeonato Brasileiro Série C,Estádio Olímpico Colosso da Lagoa,Point(-52.265039 -27.651011),https://www.yfc.com.br/
FC Biel-Bienne,Switzerland,Swiss Challenge League,Gurzelen Stadion,Point(7.26104 47.1453),http://fcbiel-bienne.ch/
Sportivo Italiano,Argentina,Primera C Argentina,República de Italia Stadium,Point(-58.517222222 -34.738055555),http://www.sportivoitaliano.com.ar/
Nacional Potosí,Bolivia,Primera División de Bolivia,Estadio Víctor Agustín Ugarte,Point(-65.761111 -19.578611),http://nacionalpotosi.com/
FK Inter Bratislava,Slovakia,Slovak Third Football League,Štadión Pasienky,Point(17.141111 48.166111),http://www.fkinter.sk/
Sporting Punta Alta,Argentina,Torneo Argentino Β,Estadio Roberto Natalio Carminatti,Point(-62.275833 -38.726944),https://casporting.com/
Sporting Punta Alta,Argentina,Torneo Argentino Β,Estadio Enrique Mendizábal,Point(-62.063611111 -38.8775),https://casporting.com/
Club de Fútbol Reboceros de La Piedad,Mexico,Ascenso MX,Estadio Juan N. López,Point(-102.0499 20.358061),http://www.reboceros.com.mx/
FK Karvan,Azerbaijan,Azerbaijan First Division,Yevlakh City Stadium,Point(48.8571 38.7472),http://www.karvan.az/
CR Belouizdad,Algeria,Algerian Ligue Professionnelle 1,Stade 20 Août 1955,Point(3.078511 36.745633),https://crb.dz/
UD Melilla,Spain,Segunda División B,Estadio Municipal Álvarez Claro,Point(-2.949444 35.285),http://www.udmelilla.es/
FC UTA Arad,Romania,Romanian SuperLiga,Stadionul Francisc von Neumann,Point(21.3114 46.1925),https://www.uta-arad.ro/
FC UTA Arad,Romania,Romanian SuperLiga,Stadionul Francisc von Neumann,Point(21.311442 46.192575),https://www.uta-arad.ro/
Syrianska FC,Sweden,Allsvenskan,Södertälje Fotbollsarena,Point(17.568882 59.188354),http://www.syrianskafc.com
Associação Atlética Caldense,Brazil,Campeonato Mineiro,Ronaldão,Point(-46.605833 -21.777778),http://www.caldense.com.br/
FC Yverdon Féminin,Switzerland,Axa Women's Super League,Stade Municipal,Point(6.647056 46.783297),http://www.fcyverdonfeminin.ch
FK Jezero,Montenegro,Montenegrin First League,Stadion Pod Racinom,Point(19.9402 42.5988),http://www.fkjezero-plav.com/
WSG Tirol,Austria,Austrian Bundesliga,Tivoli Stadion Tirol,Point(11.410789 47.255972),https://www.wsg-fussball.at/
First Vienna FC,Austria,Austrian Regional League East,Casino-Stadion Hohe Warte,Point(16.3597 48.2489),http://www.firstviennafc.at/
FK Metalac Gornji Milanovac,Serbia,Serbian First League,Metalac Stadium,Point(20.45 44.03333333),http://www.fkmetalac.rs
Villa Nova Atlético Clube,Brazil,Campeonato Brasileiro Série B,Estádio Castor Cifuentes,Point(-43.844722222 -19.9875),https://www.villanovamg.com.br/
S.C. Beira-Mar,Portugal,پڕێمەر لیگ,Estádio Municipal de Aveiro,Point(-8.593611 40.6475),http://www.beiramar.pt
Philadelphia Union,United States of America,Major League Soccer,Subaru Park,Point(-75.378889 39.832222),https://www.philadelphiaunion.com/
FC Le Mont,Switzerland,Swiss 1. Liga,Stade Sous-Ville,Point(6.525 46.78833333),http://www.fclemontlausanne.ch
FC Gossau,Switzerland,Swiss Challenge League,Q2312361,Point(9.2543 47.4104),http://www.fc-gossau.ch/
Urania Genève Sport,Switzerland,Swiss 1. Liga,Stade de Frontenex,Point(6.17659 46.20655),http://www.ugsfc.ch
Kremser SC,Austria,Austrian 2. Landesliga,Sepp-Doll-Stadion,Point(15.5981 48.4064),http://www.kremser-sc.at/
K.S.C. Lokeren Oost-Vlaanderen,Belgium,Belgian First Division B,Daknamstadion,Point(3.987222 51.116389),https://www.sporting.be/
Shuvalan FK,Azerbaijan,Azerbaijan First Division,AZAL Arena,Point(50.1964 40.4968),http://www.azalpfc.az/
AC Arles,France,dissolution,Avignon Sports Ground,Point(4.84507 43.92823),http://www.arlesavignon.net
FC Flora Tallinn,Estonia,Meistriliiga,A. Le Coq Arena,Point(24.73205 59.421292),https://fcflora.ee/
FC Inter Turku,Finland,Veikkausliiga,Veritas Stadion,Point(22.291667 60.442778),http://fcinter.fi/
FC Luzern,Switzerland,Swiss Super League,Swissporarena,Point(8.305187 47.033264),https://www.fcl.ch/
FK AS Trenčín,Slovakia,Slovak First Football League,Štadión na Sihoti,Point(18.04472222 48.89861111),https://www.astn.sk/
FC Karpaty Lviv,Ukraine,Ukrainian Second League,Ukraina Stadium,Point(24.048193 49.819234),http://www.fckarpaty.lviv.ua/
Vitória S.C.,Portugal,پڕێمەر لیگ,Afonso Henriques Stadium,Point(-8.301111 41.445833),https://www.vitoriasc.pt/
Tampere United,Finland,Veikkausliiga,Pyynikki Sports Field,Point(23.7431 61.4956),http://www.tampereunited.fi/
Deportivo Alavés,Spain,La Liga,Mendizorrotza Stadium,Point(-2.688044 42.837111),https://www.deportivoalaves.com/
Beitar Jerusalem F.C.,Israel,Israeli Premier League,Teddy Stadium,Point(35.190616666 31.751166666),https://www.beitarfc.co.il/
Maccabi Tel Aviv F.C.,Israel,Israeli Premier League,Bloomfield Stadium,Point(34.76148 32.05173),https://www.maccabi-tlv.co.il/
TPS Turku,Finland,Ykkönen,Veritas Stadion,Point(22.291667 60.442778),http://fc.tps.fi/
Skonto FC,Latvia,Latvian First League,Skonto Stadium,Point(24.116408 56.961372),https://www.skontofc.lv/
