clubLabel,countryLabel,leagueLabel,logoImage,venueLabel,coordinates,website
Djurgårdens IF Fotboll,Sweden,Allsvenskan,http://commons.wikimedia.org/wiki/Special:FilePath/Djurgardens%20IF%20logo.svg,Stockholm Olympic Stadium,Point(18.078889 59.345278),http://dif.se/
Djurgårdens IF Fotboll,Sweden,Allsvenskan,http://commons.wikimedia.org/wiki/Special:FilePath/Djurgardens%20IF%20logo.svg,Tele2 Arena,Point(18.08527778 59.29138889),http://dif.se/
Djurgårdens IF Fotboll,Sweden,Allsvenskan,http://commons.wikimedia.org/wiki/Special:FilePath/Djurgardens%20IF%20logo.svg,Tranebergs Idrottsplats,Point(17.988106 59.3347),http://dif.se/
Seattle Sounders FC,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Seattle%20Sounders%20FC%20wordmark.svg,Lumen Field,Point(-122.331666666 47.595277777),https://www.soundersfc.com
Racing de Córdoba,Argentina,Primera Nacional,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Racing%20de%20C%C3%B3rdoba.svg,Miguel Sancho Stadium,Point(-64.14326 -31.3895),http://www.racingdecordoba.com.ar/
SV Arminia Hannover,Germany,Oberliga Niedersachsen,http://commons.wikimedia.org/wiki/Special:FilePath/SV%20Arminia%20Hannover%20Logo.svg,Rudolf-Kalweit-Stadion,Point(9.780556 52.362222),https://svarminia.de/
Tennis Borussia Berlin,Germany,NOFV-Oberliga Nord,http://commons.wikimedia.org/wiki/Special:FilePath/Tennis%20Borussia%20Berlin%20logo.svg,Mommsenstadion,Point(13.264167 52.500833),http://www.tebe.de
FC Dallas,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/MLS%20crest%20logo%20RGB%20-%20FC%20Dallas.svg,Toyota Stadium,Point(-96.835158333 33.154458333),https://www.fcdallas.com/
Colorado Rapids,United States of America,Major League Soccer,http://commons.wikimedia.org/wiki/Special:FilePath/Colorado%20Rapids%20wordmark%20red.svg,Dick's Sporting Goods Park,Point(-104.891944444 39.805555555),https://www.coloradorapids.com/
Madureira Esporte Clube,Brazil,Campeonato Brasileiro Série C,http://commons.wikimedia.org/wiki/Special:FilePath/Madureira%20EC%20%28RJ%29.svg,Estádio Conselheiro Galvão,Point(-43.337275 -22.869767),http://www.madureiraec.com.br/
Hassania Agadir,Morocco,Botola,http://commons.wikimedia.org/wiki/Special:FilePath/Husa%20logo%20principal.jpg,Adrar Stadium,Point(-9.540425 30.427213888),https://husafootball.com/
Jendouba Sport,Tunisia,Tunisian Ligue Professionnelle 2,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%AC%D9%86%D8%AF%D9%88%D8%A8%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A9.svg,Stade Municipal de Jendouba,Point(8.78214 36.4941),http://jendoubasport.net/
Atlético Acreano,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/Atl%C3%A9tico%20Acreano%20logo.svg,Estádio José de Melo,Point(-67.8075 -9.970278),http://www.atleticoacreano.com.br/
Club Atlético Torino,Peru,"Peruvian Segunda División, liga 2 peru",http://commons.wikimedia.org/wiki/Special:FilePath/Atl%20Torino.png,Estadio Campeonísimo,Point(-81.2659931 -4.5776797),http://www.munitalara.gob.pe/clubtorino/
Universidad Católica del Ecuador,Ecuador,Ecuador Serie A,http://commons.wikimedia.org/wiki/Special:FilePath/Universidad%20Cat%C3%B3lica.jpg,Estadio Olímpico Atahualpa,Point(-78.476583 -0.177528),http://www.ucatolicaecu.com/
Club Deportivo Ñublense,Chile,Chilean Primera División,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%91ublense.png,Estadio Municipal Nelson Oyarzún Arenas,Point(-72.1075 -36.618056),http://www.cdnublense.cl/
Associação Atlética Portuguesa,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/AA%20Portuguesa%20%28RJ%29.png,Estádio Luso-Brasileiro,Point(-43.207775 -22.801636),http://www.aaportuguesario.com.br/
Associação Chapecoense de Futebol,Brazil,Copa Sudamericana,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo-chape-2018.png,Arena Condá,Point(-52.607 -27.1041),http://chapecoense.com/
Mixto Esporte Clube,Brazil,Campeonato Mato-Grossense,http://commons.wikimedia.org/wiki/Special:FilePath/Mixto%20EC.svg,Verdão,Point(-56.120556 -15.603056),http://www.mixtonet.com/
Associação Atlética Portuguesa,Brazil,Campeonato Paulista de Futebol,http://commons.wikimedia.org/wiki/Special:FilePath/AA%20Portuguesa%20%28Santos%29.png,Estádio Ulrico Mursa,Point(-46.337361111 -23.947111111),http://www.portuguesasantista.com.br/
FC Cherkashchyna,Ukraine,Ukrainian First League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Cherkashchyna%20logo.png,Cherkasy Arena,Point(32.0547 49.4361),http://ckdnipro.com.ua/
Rio Branco Football Club,Brazil,Campeonato Brasileiro Série C,http://commons.wikimedia.org/wiki/Special:FilePath/Escudorbfc.png,Arena da Floresta,Point(-67.803889 -10.002222),http://www.riobrancofc.com.br/
Botafogo Futebol Clube,Brazil,Campeonato Brasileiro Série C,http://commons.wikimedia.org/wiki/Special:FilePath/Botafogo%20Futebol%20Clube%20%28PB%29%20logo.svg,Almeidão,Point(-34.872778 -7.1675),http://www.botafogopb.com.br
FSC Bukovyna Chernivtsi,Ukraine,Ukrainian First League,http://commons.wikimedia.org/wiki/Special:FilePath/LOGO%20FSC%20Black%202.png,Bukovyna Stadium,Point(25.942 48.275),https://bukfc.com/ua/
Club Comunicaciones,Argentina,Primera B Metropolitana,http://commons.wikimedia.org/wiki/Special:FilePath/Comunicaciones%20badge.png,Estadio Alfredo Ramos,Point(-58.488528 -34.593722),http://www.clubcomunicaciones.com.ar/
U.S. Pergolettese 1932,Italy,Serie D,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Pergolettese%201932%20%28logo%29.svg,Stadio Giuseppe Voltini,Point(9.675556 45.357778),https://www.uspergolettese.it/
Alianza Fútbol Club,El Salvador,Primera División de El Salvador,http://commons.wikimedia.org/wiki/Special:FilePath/Imagotipo%20alianza%20fc%201.png%201103437604.png,Estadio Cuscatlán,Point(-89.2225 13.681111111),https://www.alianzafc.com.sv/
Iberia  Los Ángeles,Chile,Chilean Second Division,http://commons.wikimedia.org/wiki/Special:FilePath/02-deportes-iberia.svg,Estadio Municipal de Los Ángeles,Point(-72.3615 -37.4704),https://www.deportesiberia.cl/
FC Desna Chernihiv,Ukraine,Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Desna.png,Chernihiv Stadium,Point(31.32722222 51.50166667),http://desna.football/
Torpedo Olleart FC,Russia,Russian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/Torpedo%20Vladimir.svg,Torpedo Stadium,Point(40.392478 56.123528),http://www.fc-tv.ru/
Radomiak Radom,Poland,Ekstraklasa,http://commons.wikimedia.org/wiki/Special:FilePath/Herb%20radomiaka%20300dpi.png,Stadion RKS Radomiak,Point(21.171389 51.409444),http://www.radomiak.com.pl/
FC Lori Vanadzor,Armenia,Armenian Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%AD%D0%BC%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0%20%D0%A4%D0%9A%20%22%D0%9B%D0%BE%D1%80%D0%B8%22.gif,Lori Stadium,Point(44.493889 40.797222),http://fclori.am/
FC Sumy,Ukraine,Ukrainian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/Pfcsumy%20embl.png,Yuvileiny Stadium,Point(34.799722 50.902222),http://fc.sumy.ua/
US Rumelange,Luxembourg,Luxembourg National Division,http://commons.wikimedia.org/wiki/Special:FilePath/Union%20Sportive%20Rumelange%20%28logo%29.svg,"Stade Municipal, Rumelange",Point(6.033197222 49.457347222),http://www.usrumelange.lu/
NK Junak Sinj,Croatia,Q16112816,http://commons.wikimedia.org/wiki/Special:FilePath/NK%20Junak.png,Gradski stadion,Point(16.653889 43.702778),http://www.nkjunak.hr
Club Atlético Platense,Uruguay,Segunda División Profesional,http://commons.wikimedia.org/wiki/Special:FilePath/Mini%20Free%20Logo%20Platense.png,Estadio Obdulio Varela,Point(-56.12243889 -34.85823889),http://elascenso.com/
América Futebol Clube,Brazil,Campeonato Mineiro,http://commons.wikimedia.org/wiki/Special:FilePath/America%20FC%20%28TO-MG%29.svg,Q10277357,Point(-41.50241944 -17.856125),http://www.america-to.com.br/
S.S. Sambenedettese Calcio,Italy,Serie D,http://commons.wikimedia.org/wiki/Special:FilePath/Sambenedettese100.png,Stadio Riviera delle Palme,Point(13.884722 42.930556),http://www.sambenedettesecalcio.it/
Larvik Turn & IF,Norway,Norwegian Third Division,http://commons.wikimedia.org/wiki/Special:FilePath/Larvik%20Turn%20logo.PNG,Lovisenlund,Point(10.0289 59.0605),http://www.larvikturn.no/
OC Khouribga,Morocco,Botola,http://commons.wikimedia.org/wiki/Special:FilePath/Olympique%20Club%20de%20Khouribga.png,Complexe OCP,Point(-6.90738 32.878191),https://ockfoot.ma/
FC Helios Kharkiv,Ukraine,Ukrainian First League,http://commons.wikimedia.org/wiki/Special:FilePath/Crest%20of%20FC%20Helios%20Kharkiv.png,Helios Arena,Point(36.1812 49.946),http://www.gelios.ua/ua
Boca Unidos,Argentina,Primera Nacional,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Atl%C3%A9tico%20Boca%20Unidos.svg,Estadio José Antonio Romero Feris,Point(-58.829883 -27.483778),http://www.clubbocaunidos.com/
FC Zirka Kropyvnytskyi,Ukraine,Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Zirka%20Kropyvnytskyi%20Logo.png,Zirka Stadium,Point(32.266666666 48.515833333),http://www.fczirka.com.ua/
Uruguay Montevideo,Uruguay,Primera División Amateur de Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Uruguay%20Montevideo.png,Q16564713,Point(-56.22416667 -34.86777778),http://www.uruguaymontevideofc.com/
Osasuna B,Spain,Segunda Federación,http://commons.wikimedia.org/wiki/Special:FilePath/OSASUNA.jpg,Tajonar Facilities,Point(-1.62555556 42.77444444),http://www.osasuna.es/dev/
Associação Atlética Anapolina,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/AA%20Anapolina-06.svg,Estádio Jonas Duarte,Point(-48.955761 -16.346347),http://www.aaanapolina.com.br/
Brusque Futebol Clube,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/Brusque%20FC%20-%20SC.svg,Estádio Augusto Bauer,Point(-48.9161 -27.1014),http://www.brusquefutebolclube.com.br/
Clube Náutico Marcílio Dias,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/ClubeN%C3%A1uticoMarc%C3%ADlioDias.png,Estádio Hercílio Luz,Point(-48.659667 -26.908353),http://www.marciliodias.com.br/
FK Pardubice,Czech Republic,Czech First League,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20FK%20Pardubice.png,Pod Vinicí,Point(15.781801 50.029661),http://www.fkpardubice.cz
Hajer Club,Saudi Arabia,Saudi Pro League,http://commons.wikimedia.org/wiki/Special:FilePath/Hajer%20Club%20wordmark.png,Prince Abdullah bin Jalawi Stadium,Point(49.612778 25.305833),https://hajerclub.net/
Americano Futebol Clube,Brazil,Campeonato Carioca,http://commons.wikimedia.org/wiki/Special:FilePath/Americano%20Futebol%20Clube.png,Estádio Godofredo Cruz,Point(-41.34083333 -21.75972222),http://www.americanofc.com.br/
Anagennisi Deryneia FC,Cyprus,Cypriot Second Division,http://commons.wikimedia.org/wiki/Special:FilePath/Anagennisi%20Deryneia%20%28logo%29.svg,Anagennisi Football Ground,Point(33.95666 35.05307),http://www.anagennisis1920.net/
AJ Petite-Île,France,Réunion Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AJ%20Petite-Ile.png,Stade Raphaël Babet,Point(55.61466 -21.37836),http://ajp.footeo.com
AJ Petite-Île,France,Réunion Premier League,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AJ%20Petite-Ile.png,Stade Raphaël Babet,Point(55.61466 -21.37836),http://ajpetiteile.com/
Académico de Viseu FC,Portugal,LigaPro,http://commons.wikimedia.org/wiki/Special:FilePath/AVFC.png,Estádio do Fontelo,Point(-7.90083333 40.65944444),https://academicodeviseu.pt
Mogi Mirim Esporte Clube,Brazil,Campeonato Brasileiro Série C,http://commons.wikimedia.org/wiki/Special:FilePath/Mogi%20Mirim%20EC.svg,Estádio Romildo Vitor Gomes Ferreira,Point(-46.962561 -22.439642),http://www.mogimirim.com.br/
Achilles'29,Netherlands,Eerste Divisie,http://commons.wikimedia.org/wiki/Special:FilePath/Logoachilles29.gif,Q2323717,Point(5.948889 51.782778),https://www.achilles1929.nl/
UD Somozas,Spain,Segunda División B,http://commons.wikimedia.org/wiki/Special:FilePath/SOMOZAS%20vectorial%20f%C3%BAtbol%20galego.svg,Q25511399,Point(-7.94117 43.53394),https://www.udsomozas.com/
Sampaio Corrêa F.C.,Brazil,Campeonato Brasileiro Série B,http://commons.wikimedia.org/wiki/Special:FilePath/NOVO%20ESCUDO%20SAMPAIO%20CORR%C3%8AA.png,Castelão,Point(-44.259722 -2.548611),http://www.sampaiocorreafc.com.br/
Independiente Rivadavia,Argentina,Primera Nacional,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Independiente%20Rivadavia.svg,Estadio Bautista Gargantini,Point(-68.862777 -32.890786),http://www.mundolepra.com/
Sportivo Dock Sud,Argentina,Primera C Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Dock%20Sud%20Escudo%202020.png,Estadio de Los Inmigrantes,Point(-58.34443 -34.65771),https://clubsportivodocksud.com.ar/
Club Mutual Crucero del Norte,Argentina,Torneo Federal A,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20del%20Club%20Mutual%20Crucero%20del%20Norte.svg,Estadio Comandante Andrés Guacurarí,Point(-55.852222 -27.498611),http://www.clubcrucerodelnorte.com.ar/
Club Atlético Colegiales,Argentina,Primera B Metropolitana,http://commons.wikimedia.org/wiki/Special:FilePath/Colegiales%20arg%20logo.png,Estadio Libertarios Unidos,Point(-58.5257 -34.5381),http://cacolegiales.com.ar/
FC Makiyivvuhillya Makiyivka,Ukraine,Ukrainian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/Nikopol-logo.jpg,Elektrometalurh Stadium,Point(34.39263611 47.56237778),https://fcnikopol.com.ua
FC Avanhard Kramatorsk,Ukraine,Ukrainian First League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Avangard%20Kramatorsk%20Logo.svg,Avanhard Stadium,Point(37.5493 48.7189),http://fc-avangard.com.ua/
SFC Opava,Czech Republic,Czech 2. Liga,http://commons.wikimedia.org/wiki/Special:FilePath/Sfc%20opava.png,Stadion v Městských sadech,Point(17.890092 49.949725),https://www.sfc.cz/
FC Chambly,France,Championnat National,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20FC%20Chambly%20Oise.svg,Stade des Marais,Point(2.23243 49.1776),http://www.fcchambly.com/
FC Chambly,France,Championnat National,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20FC%20Chambly%20Oise.svg,Q97464644,Point(2.23169 49.17912),http://www.fcchambly.com/
Gibraltar United F.C.,Gibraltar,Gibraltar National League,http://commons.wikimedia.org/wiki/Special:FilePath/Gib%20Utd.png,Victoria Stadium,Point(-5.350342 36.149356),http://www.gibraltarunitedfc.com/
Ferroviário Atlético Clube,Brazil,Campeonato Brasileiro Série C,http://commons.wikimedia.org/wiki/Special:FilePath/Ferroviario.png,Vila Olímpica Elzir Cabral,Point(-38.588333 -3.708611),http://www.ferrao.com.br
Esporte Clube Flamengo,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/EC%20Flamengo-PI%20%28BRA%29%202023.png,Albertão,Point(-42.793 -5.116),http://www.ecflamengonet.com.br/
Gimnasia y Esgrima de Mendoza,Argentina,Primera Nacional,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Club%20Atl%C3%A9tico%20Gimnasia%20y%20Esgrima%20Mendoza.png,Víctor Legrotaglie Stadium,Point(-68.863555555 -32.88425),http://www.gimnasiayesgrimamza.com.ar/
CA Bordj Bou Arréridj,Algeria,Algerian Ligue Professionnelle 2,http://commons.wikimedia.org/wiki/Special:FilePath/CABBA%20-logo.gif,Stade 20 Août 1955,Point(4.76667 36.0667),http://www.cabba.org/
FK Dukla Prague,Czech Republic,Czech 2. Liga,http://commons.wikimedia.org/wiki/Special:FilePath/FK%20Dukla%20Praha%20logo.png,Stadion Juliska,Point(14.3875 50.111389),https://www.fkdukla.cz/
Gimnasia y Tiro,Bolivia,Torneo Federal A,http://commons.wikimedia.org/wiki/Special:FilePath/Gimnasio%20y%20tiro%20de%20salta.png,Estadio El Gigante del Norte,Point(-65.403889 -24.783333),http://gytsalta.com/
Club 9 de Octubre,Ecuador,Serie A de Ecuador 2021,http://commons.wikimedia.org/wiki/Special:FilePath/9%20de%20Octubre%20FC%20escudo.png,Estadio Modelo Alberto Spencer Herrera,Point(-79.894369 -2.178861),https://www.9deoctubre.com/
Club 9 de Octubre,Ecuador,Serie A de Ecuador 2021,http://commons.wikimedia.org/wiki/Special:FilePath/9%20de%20Octubre%20FC%20escudo.png,Estadio Alejandro Ponce Noboa,Point(-79.8985 -2.25883),https://www.9deoctubre.com/
Unión Huaral,Peru,Copa Perú,http://commons.wikimedia.org/wiki/Special:FilePath/Uni%C3%B3n%20Huaral%20logo.svg,Estadio Julio Lores Colán,Point(-77.2171497 -11.4967628),http://www.union-huaral.com/
S.V. Transvaal,Suriname,Hoofdklasse,http://commons.wikimedia.org/wiki/Special:FilePath/SV%20Transvaal%202018.png,André Kamperveen Stadium,Point(-55.160806 5.837389),http://www.transvaalsuriname.com/
Vefa S.K.,Turkey,Turkish Regional Amateur League,http://commons.wikimedia.org/wiki/Special:FilePath/VefaSK%20logo.jpg,Vefa Stadium,Point(28.939 41.0278),http://www.vefasporkulubu.com
Septemvri Sofia PFC,Bulgaria,First Professional Football League,http://commons.wikimedia.org/wiki/Special:FilePath/Septemvri%20Sofia.png,Septemvri Stadium (Sofia),Point(23.28777778 42.69222222),http://fcseptemvri.com/
FC Arsenal-Kyivshchyna Bila Tserkva,Ukraine,Ukrainian First League,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%95%D0%BC%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0%20%D0%A4%D0%9A%20%C2%AB%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB-%D0%9A%D0%B8%D1%97%D0%B2%D1%89%D0%B8%D0%BD%D0%B0%C2%BB.jpg,Trudovi Reservy Stadium,Point(30.123583333 49.793416666),http://arsenalbc.com/
Alondras CF,Spain,Tercera División,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Alondras%20CF.jpg,Q115584737,Point(-8.78209 42.26904),http://www.alondrascf.com/
BSG Chemie Leipzig,Germany,Regionalliga Nordost,http://commons.wikimedia.org/wiki/Special:FilePath/BSG%20Chemie%20Leipzig%20Logo.svg,Alfred-Kunze-Sportpark,Point(12.307778 51.358056),http://www.chemie-leipzig.de
BSG Chemie Leipzig,Germany,Sachsenliga,http://commons.wikimedia.org/wiki/Special:FilePath/BSG%20Chemie%20Leipzig%20Logo.svg,Alfred-Kunze-Sportpark,Point(12.307778 51.358056),http://www.chemie-leipzig.de
BSG Chemie Leipzig,Germany,NOFV-Oberliga Süd,http://commons.wikimedia.org/wiki/Special:FilePath/BSG%20Chemie%20Leipzig%20Logo.svg,Alfred-Kunze-Sportpark,Point(12.307778 51.358056),http://www.chemie-leipzig.de
Amiens AC,France,Championnat National 2,http://commons.wikimedia.org/wiki/Special:FilePath/AC%20Amiens%20Football.png,Stade Jean-Bouin,Point(2.25293 48.8432),http://www.acamiens.com
Associação Desportiva Cabofriense,Brazil,Campeonato Carioca,http://commons.wikimedia.org/wiki/Special:FilePath/AD%20Cabofriense%20-%20RJ.svg,Correão,Point(-42.04000556 -22.88980833),http://www.cabofriense.com
Persebaya Surabaya,Indonesia,Liga 1,http://commons.wikimedia.org/wiki/Special:FilePath/Persibaja%20logo.png,Gelora Bung Tomo Stadium,Point(112.621708 -7.225142),https://www.persebaya.id/
FK Osogovo,North Macedonia,Third Macedonian Football League,http://commons.wikimedia.org/wiki/Special:FilePath/Gfk-osogovo-kocani-logo.png,Stadion Nikola Mantov,Point(22.406394 41.908356),http://www.fkosogovo.com/
Stade de Reims,France,Division 2 Féminine,http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20de%20reims.jpg,Stade Auguste Delaune,Point(4.02478 49.24716),http://feminine.stade-de-reims.com//
Rodez AF,France,Division 1 Féminine,http://commons.wikimedia.org/wiki/Special:FilePath/Rodez%20AF.svg,Stade Paul-Lignon,Point(2.56376 44.35161),http://www.rodezaveyronfootball.com/Home/
Ríver Atlético Clube,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/R%20PIAUI.png,Albertão,Point(-42.793 -5.116),http://riverac.com/
A.C. Gozzano,Italy,Serie C,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AC%20Gozzano%20%28settembre%202018%29.svg,Stadio Alfredo d'Albertas,Point(8.418694 45.757459),https://www.acgozzano.it
A.C. Gozzano,Italy,Serie C,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AC%20Gozzano%20%28settembre%202018%29.svg,Stadio Alfredo d'Albertas,Point(8.418694 45.757459),https://www.acgozzanocalcio.it
Rápido de Bouzas,Spain,Segunda División B,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Club%20R%C3%A1pido%20de%20Bouzas.svg,Estadio Baltasar Pujales,Point(-8.75571 42.22679),http://www.rapidodebouzas.com/
América Futebol Clube,Brazil,Campeonato Paulista Segunda Divisão,http://commons.wikimedia.org/wiki/Special:FilePath/America%20FC-SJ%20%28A1%29%20-%20SP.svg,Teixeirão,Point(-49.358889 -20.797222),http://www.america-rp.com.br/
Antigua GFC,Guatemala,Liga Guate Banrural,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20antigua.jpg,Estadio Pensativo,Point(-90.73805556 14.5675),https://www.antiguagfc.com
Audax São Paulo Esporte Clube,Brazil,Campeonato Paulista de Futebol,http://commons.wikimedia.org/wiki/Special:FilePath/Gr%C3%AAmio%20Osasco%20Audax%20%2801%29%20-%20SP.png,Estádio Nicolau Alayon,Point(-46.68525 -23.518083333),http://www.audaxsp.com.br/
Los pilines fc,Chile,Chilean Tercera División A,http://commons.wikimedia.org/wiki/Special:FilePath/12-colchagua-cd.svg,Q2919402,Point(-70.9865 -34.577),http://colchaguacd.cl/
FC Ufa,Russia,Russian First League,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Ufa%20logo.svg,Neftyanik,Point(56.0614 54.8259),http://www.fcufa.pro/
AS Dragons,Democratic Republic of the Congo,Linafoot,http://commons.wikimedia.org/wiki/Special:FilePath/Amicale%20sportive%20Dragons%20Bilima%20logo.jpg,Stade 24 Novembre,Point(15.312485 -4.322865),http://www.as-dragons-bilima.com/
A.C.D. Trissino-Valdagno,Italy,Serie D,http://commons.wikimedia.org/wiki/Special:FilePath/ACD%20Trissino-Valdagno.png,Stadio dei Fiori,Point(11.30435 45.64887),http://www.ssdfcvaldagno.it/index.html
A.C. Barnechea City,Chile,Chilean First B Division,http://commons.wikimedia.org/wiki/Special:FilePath/Athletic%20Club%20Barnechea.PNG,Estadio Municipal de La Pintana,Point(-70.635833 -33.586667),https://acbarnechea.cl/
Milwaukee Wave,United States of America,Major Indoor Soccer League,http://commons.wikimedia.org/wiki/Special:FilePath/Milwaukee%20Wave%20logo.svg,UW–Milwaukee Panther Arena,Point(-87.916944444 43.042222222),https://www.milwaukeewave.com/
CR Vasco da Gama,Brazil,Campeonato Brasileiro Série A,http://commons.wikimedia.org/wiki/Special:FilePath/CR%20Vasco%20da%20Gama.svg,Estádio São Januário,Point(-43.228252777 -22.890916666),http://www.vasco.com.br
Eintracht Mahlsdorf,Germany,Berlin-Liga,http://commons.wikimedia.org/wiki/Special:FilePath/Eintracht%20Mahlsdorf%20Logo.png,"Sportkomplex ""Am Rosenhag""",Point(13.62529 52.52625),http://www.bsv-eintracht-mahlsdorf.de
América Futebol Clube,Brazil,Campeonato Pernambucano,http://commons.wikimedia.org/wiki/Special:FilePath/America%20FC%20%28PE%29.svg,Ademir Cunha Stadium,Point(-34.888136 -7.945819),http://www.americafcpe.com.br
FC Zenit-2,Russia,Russian First League,http://commons.wikimedia.org/wiki/Special:FilePath/FK%20Zenit%20St%20Peterburg.svg,Petrovsky Stadium,Point(30.286389 59.951944),http://2.fc-zenit.ru
FC Shakhtyor Prokopyevsk,Russia,Russian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20shahter%20prokopevsk.jpg,Q4521457,Point(86.3579 54.3737),http://www.fkshaxter.ru/
Club Atlético Excursionistas,Argentina,Primera C Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Excursionistas%20logo.png,Estadio de Excursionistas,Point(-58.443 -34.5589),https://excursionistas.org.ar/
Inter Youth Sector,Italy,Q48851752,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Internazionale%20Milano%202021.svg,Stadio Breda,Point(9.219722 45.533889),https://www.inter.it/
FC Dynamo Kharkiv,Ukraine,Soviet First League,http://commons.wikimedia.org/wiki/Special:FilePath/Dynamo%20kharkiv.png,Dynamo Stadium,Point(36.239917 50.021889),https://www.fcdinamo.com.ua/
Atlético Policial,Argentina,Torneo Argentino Β,http://commons.wikimedia.org/wiki/Special:FilePath/ClubAtleticoPolicialescudo-Catamarca.svg,Estadio Bicentenario Ciudad de Catamarca,Point(-65.7538 -28.4466),http://www.clubpolicial.com.ar:80/
Clube Esportivo Lajeadense,Brazil,Campeonato Gaúcho,http://commons.wikimedia.org/wiki/Special:FilePath/CE%20Lejaedense%20%28RS%29.svg,Q10276745,Point(-51.999884953 -29.484035851),http://www.celajeadense.com.br/
Tocantinópolis Esporte Clube,Brazil,Campeonato Brasileiro Série D,http://commons.wikimedia.org/wiki/Special:FilePath/Tocantinopolis%20EC.svg,Q9255315,Point(-47.427872 -6.342914),http://www.tocantinopolisesporteclube.com/
Sociedade Esportiva Palmeiras B,Brazil,Campeonato Paulista de Futebol,http://commons.wikimedia.org/wiki/Special:FilePath/Palmeiras%20logo.svg,Estádio Rua Javari,Point(-46.604444 -23.553333),http://www.palmeiras.com.br/
NK Krško,Slovenia,Slovenian Second League,http://commons.wikimedia.org/wiki/Special:FilePath/Nov%20grb%20NK%20Kr%C5%A1ko%20julij%202015.png,Matija Gubec Stadium,Point(15.48831944 45.94890833),http://nkkrsko.com/
Valledupar F.C.,Colombia,Categoría Primera B,http://commons.wikimedia.org/wiki/Special:FilePath/Vfclogo.jpg,Estadio Armando Maestre Pavajeau,Point(-73.249336 10.465744),http://www.valleduparfc.com/
West Texas FC,United States of America,National Premier Soccer League,http://commons.wikimedia.org/wiki/Special:FilePath/West%20Texas%20FC%20wordmark%20logo.png,Astound Broadband Stadium,Point(-102.1522 31.9884),https://www.westtexasfc.com/
Bogotá F.C.,Colombia,Categoría Primera B,http://commons.wikimedia.org/wiki/Special:FilePath/BogotaFC%20PEIPI.png,Estadio Metropolitano de Techo,Point(-74.135611 4.623545),https://bogotafc.com/
