,club,country,league,venue,coordinates,website,logoImage
51,Swansea City A.F.C.,England,EFL Championship,Liberty Stadium,-3.9351 51.6422,https://www.swanseacity.com/,
52,Altrincham F.C.,England,National League North,Moss Lane,-2.335158 53.383436,https://www.altrinchamfc.com/,
53,Middlesbrough F.C.,England,EFL Championship,Riverside Stadium,-1.216944444 54.578333333,https://www.mfc.co.uk/,
54,Cardiff City F.C.,England,EFL Championship,Cardiff City Stadium,-3.203056 51.472778,https://www.cardiffcityfc.co.uk/,
55,Albion Sports A.F.C.,England,Northern Counties East Football League,Horsfall Stadium,-1.776203 53.758856,http://albionsports.co.uk/seniors/,
56,Lewisham Borough F.C.,England,Kent Invicta Football League,Ladywell Arena,-0.02166667 51.45111111,http://www.lewishamboroughfc.com/,
57,Fulham F.C.,England,Premier League,Craven Cottage,-0.221666666 51.475,https://www.fulhamfc.com/,
58,Aston Villa F.C.,England,Premier League,Villa Park,-1.884722222 52.509166666,https://www.avfc.co.uk/,
59,Newcastle United F.C.,England,Premier League,St James’ Park,-1.621666666 54.975555555,https://www.nufc.co.uk/,
60,Norwich City F.C.,England,EFL Championship,Carrow Road,1.309166666 52.622222222,https://www.canaries.co.uk/,
61,Queens Park Rangers F.C.,England,EFL Championship,Kiyan Prince Foundation Stadium,-0.232222222 51.509166666,https://www.qpr.co.uk/,
62,Reading F.C.,England,EFL Championship,Madejski Stadium,-0.982777777 51.422222222,https://www.readingfc.co.uk/,
63,Southampton F.C.,England,Premier League,St Mary's Stadium,-1.39111111 50.90583333,https://www.southamptonfc.com,
64,Stoke City F.C.,England,EFL Championship,Britannia Stadium,-2.175555555 52.988333333,https://www.stokecityfc.com/,
65,Sunderland A.F.C.,England,EFL League One,Stadium of Light,-1.3882 54.9144,https://www.safc.com/,
66,Tottenham Hotspur F.C.,England,Premier League,Tottenham Hotspur Stadium,-0.066388888 51.604444444,https://www.tottenhamhotspur.com/,
67,West Bromwich Albion F.C.,England,EFL Championship,The Hawthorns,-1.963888888 52.509166666,https://www.wba.co.uk/,
68,West Ham United F.C.,England,Premier League,London Stadium,-0.016388888 51.538611111,http://www.whufc.com/,
69,Wigan Athletic F.C.,England,EFL League One,DW Stadium,-2.653889 53.547778,https://www.wiganathletic.com/,
70,FK Ventspils,Latvia,Latvian Higher League,Ventspils Olimpiskais Stadions,21.5704 57.3873,http://www.fkventspils.lv/,
71,Club Universitario de Deportes,Peru,Peruvian Primera División,Estadio Monumental U,-76.935972 -12.055694,https://universitario.pe/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20oficial%20de%20Universitario.png
72,Barnsley F.C.,England,EFL Championship,Oakwell,-1.4675 53.552222,https://www.barnsleyfc.co.uk/,
73,Birmingham City F.C.,England,EFL Championship,St Andrew's,-1.868188888 52.475702777,https://www.bcfc.com/,
74,Blackburn Rovers F.C.,England,EFL Championship,Ewood Park,-2.489166666 53.728611111,https://www.rovers.co.uk/,
75,Blackpool F.C.,England,EFL Championship,Bloomfield Road,-3.048056 53.804722,https://www.blackpoolfc.co.uk/,
76,Bolton Wanderers F.C.,England,EFL League One,University of Bolton Stadium,-2.535555555 53.580555555,https://www.bwfc.co.uk/,
